"Time (s)","Illuminance (lx)"
0.000000000E0,4.729725037E2
1.051448430E-1,3.053025146E3
3.851408850E-1,3.113977539E3
7.051453640E-1,3.124980225E3
8.651783320E-1,3.127005127E3
1.025143957E0,3.123967529E3
1.345139322E0,3.116002686E3
1.505388020E0,3.124980225E3
1.665128593E0,3.127005127E3
1.825153437E0,3.128017578E3
1.985144010E0,3.124980225E3
2.145148228E0,3.120997559E3
2.305142447E0,3.117015137E3
2.465125780E0,3.127005127E3
2.625110260E0,3.129975098E3
2.785147082E0,3.129030029E3
2.945145624E0,3.128017578E3
3.105165364E0,3.122010010E3
3.265160885E0,3.118972656E3
3.425143541E0,3.130987549E3
3.585532760E0,3.134025146E3
3.745151718E0,3.135982666E3
3.905153957E0,3.134025146E3
4.065144010E0,3.120997559E3
4.225142968E0,3.125992676E3
4.385139895E0,3.134025146E3
4.545129791E0,3.134970215E3
4.705110676E0,3.139020020E3
4.865155468E0,3.138007568E3
5.025152082E0,3.127005127E3
5.185152291E0,3.132000244E3
5.345153905E0,3.119985107E3
5.505139895E0,3.114990234E3
5.665199635E0,3.112020020E3
5.825152864E0,3.103987549E3
5.985147655E0,3.102030029E3
6.145138801E0,3.117015137E3
6.305152655E0,3.156030029E3
6.465145103E0,3.195990234E3
6.625127447E0,3.248032715E3
6.785125103E0,3.292987549E3
6.945144999E0,3.330990234E3
7.105147916E0,3.329032715E3
7.265146353E0,3.338010254E3
7.425147655E0,3.362985107E3
7.585126822E0,3.392010254E3
7.745279374E0,3.424005127E3
7.905148176E0,3.454987549E3
8.065170155E0,3.458970215E3
8.225143957E0,3.524985107E3
8.385145312E0,3.685972656E3
8.545154166E0,3.760020264E3
8.705126353E0,3.821985107E3
8.865136249E0,3.873015137E3
9.025147916E0,3.881992676E3
9.345144270E0,3.879967773E3
9.505145624E0,3.869977539E3
9.665124739E0,3.847972656E3
9.825126041E0,3.820972656E3
9.985128593E0,3.814020264E3
1.014514776E1,3.803017578E3
1.030513937E1,3.798022705E3
1.046514005E1,3.810982666E3
1.062514927E1,3.836025146E3
1.078519568E1,3.874972656E3
1.094512906E1,3.881992676E3
1.110514693E1,3.869977539E3
1.126514422E1,3.858975098E3
1.142515828E1,3.852967773E3
1.158514740E1,3.861000244E3
1.174512552E1,3.884017578E3
1.190511828E1,3.861000244E3
1.206515073E1,3.858975098E3
1.222514479E1,3.885030273E3
1.238514219E1,3.821985107E3
1.254514865E1,3.767985107E3
1.270514375E1,3.718980225E3
1.286527464E1,3.664980225E3
1.302512797E1,3.675982666E3
1.318514792E1,3.728970215E3
1.334515026E1,3.735990234E3
1.350514005E1,3.765015137E3
1.366514479E1,3.797010254E3
1.382512854E1,3.829005127E3
1.398511089E1,3.852022705E3
1.414512776E1,3.863025146E3
1.430514448E1,3.869977539E3
1.446514448E1,3.867007568E3
1.462515156E1,3.859987549E3
1.478515646E1,3.869032715E3
1.494534281E1,3.845002686E3
1.510512823E1,3.831030273E3
1.526514432E1,3.783982666E3
1.542514484E1,3.730995117E3
1.558514375E1,3.734032715E3
1.574514094E1,3.739972656E3
1.590512578E1,3.723030029E3
1.606511073E1,3.755025146E3
1.622515219E1,3.722017578E3
1.638514766E1,3.660997559E3
1.654514422E1,3.586005127E3
1.670515000E1,3.550972656E3
1.686514510E1,3.469027588E3
1.702541474E1,3.484012695E3
1.718512854E1,3.591000244E3
1.734514031E1,3.656002686E3
1.750513995E1,3.604027588E3
1.766516042E1,3.597007568E3
1.782514583E1,3.609967529E3
1.798512594E1,3.593025146E3
1.814511036E1,3.510000244E3
1.830514792E1,3.659985107E3
1.846515219E1,3.609967529E3
1.862514380E1,3.538012695E3
1.878513995E1,3.528022705E3
1.894514401E1,3.498997559E3
1.910542432E1,3.484012695E3
1.926512828E1,3.469972656E3
1.942515323E1,3.430012695E3
1.958514562E1,2.837025146E3
1.974514219E1,2.465977539E3
1.990514557E1,2.385989990E3
2.006512651E1,2.454030029E3
2.022511708E1,2.670030029E3
2.038514375E1,2.449979980E3
2.054514219E1,2.060977539E3
2.070515682E1,1.806030029E3
2.086517156E1,1.809000122E3
2.102514745E1,1.800967529E3
2.118553109E1,2.480017578E3
2.134514614E1,2.486025146E3
2.150515109E1,2.772967529E3
2.166515427E1,3.264975098E3
2.182516661E1,3.221977539E3
2.198514016E1,3.161970215E3
2.214513583E1,3.102975098E3
2.230514125E1,3.059032715E3
2.246514198E1,3.046005127E3
2.262515703E1,2.981002686E3
2.278514870E1,2.762032715E3
2.294516750E1,2.692980225E3
2.310515729E1,2.735032715E3
2.326512036E1,2.923020020E3
2.342515260E1,2.868007568E3
2.358514557E1,2.756025146E3
2.374514578E1,2.234992676E3
2.390514646E1,2.112007568E3
2.406514010E1,2.049030029E3
2.422512875E1,1.876027588E3
2.438512755E1,1.795972534E3
2.454514484E1,2.043022583E3
2.470515766E1,2.038972534E3
2.486514448E1,1.751017578E3
2.502514380E1,9.420300293E2
2.518512958E1,6.660225220E2
2.534511812E1,5.219775391E2
2.550515286E1,5.200200195E2
2.566515083E1,6.280200195E2
2.582514948E1,1.932997559E3
2.598515552E1,1.984027588E3
2.614512682E1,2.112007568E3
2.630513010E1,2.123010010E3
2.646515667E1,2.317005127E3
2.662514870E1,2.226015137E3
2.678514375E1,2.222032471E3
2.694515266E1,2.571007568E3
2.710514844E1,2.465977539E3
2.726512760E1,2.654032715E3
2.742511792E1,2.369992676E3
2.758515661E1,2.276032471E3
2.774519714E1,2.285010010E3
2.790514698E1,1.162012573E3
2.806514922E1,1.145002563E3
2.822514510E1,2.589974976E2
2.838519411E1,2.220075073E2
2.854512802E1,2.010150146E2
2.870514250E1,2.529900055E2
2.886514432E1,2.540025177E2
2.902514771E1,2.319975128E2
2.918515500E1,2.670299988E2
2.934512687E1,8.320050049E2
2.950511026E1,2.099992676E3
2.966514849E1,3.649725037E2
2.982514505E1,2.600100098E2
2.998514349E1,2.180250092E2
3.014513880E1,1.819800110E2
3.030514354E1,2.149875031E2
3.046512547E1,3.379725037E2
3.062512859E1,2.309850159E2
3.078514641E1,2.770200195E2
3.094514490E1,1.381994995E3
3.110515208E1,2.880967529E3
3.142512890E1,2.330977539E3
3.158511104E1,2.040997559E3
3.174514917E1,5.960250244E2
3.190515312E1,1.730025024E2
3.206516927E1,2.020275116E2
3.222516698E1,1.630125122E2
3.238514667E1,1.800225067E2
3.254543307E1,1.809675140E2
3.270512807E1,1.580175018E2
