GENESIS-Tabelle: 45212-0002;;;;;;
Beschäftigte im Einzelhandel: Deutschland, Monate/Quartale/Halbjahre, Wirtschaftszweige;;;;;;
Monatsstatistik im Einzelhandel;;;;;;
Deutschland;;;;;;
;;;;Beschäftigte;Vollzeitbeschäftigte;Teilzeitbeschäftigte
;;;;2015=100;2015=100;2015=100
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;Januar;155.00;182.70;131.00
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;Februar;155.40;183.00;131.90
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;März;155.40;183.30;131.40
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;April;155.90;183.80;131.60
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;Mai;155.30;183.80;131.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;Juni;154.80;182.80;131.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;Juli;155.00;182.70;131.30
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;August;155.10;184.40;130.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;September;155.30;184.10;131.00
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;Oktober;166.00;195.70;141.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;November;166.80;196.00;142.40
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1994;Dezember;163.30;192.10;139.30
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;Januar;168.90;203.90;139.10
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;Februar;168.50;201.90;140.60
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;März;168.60;202.70;139.80
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;April;168.30;204.70;137.50
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;Mai;167.60;204.70;135.90
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;Juni;168.10;205.20;136.70
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;Juli;168.30;204.90;137.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;August;169.10;206.30;137.10
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;September;169.30;206.00;138.10
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;Oktober;169.80;206.40;138.50
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;November;170.60;209.00;137.70
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1995;Dezember;171.00;209.20;138.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;Januar;169.80;207.40;137.80
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;Februar;169.10;204.90;138.50
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;März;168.10;206.00;135.90
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;April;167.90;205.50;135.50
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;Mai;168.30;205.30;136.70
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;Juni;167.40;205.50;134.40
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;Juli;166.20;204.30;133.30
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;August;167.60;205.60;135.00
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;September;169.20;208.60;135.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;Oktober;167.90;208.00;133.20
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;November;168.60;208.30;134.40
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1996;Dezember;169.20;208.60;135.00
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1997;Januar;167.60;194.50;145.80
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;1997;Februar;166.30;192.10;145.60
