GENESIS-Tabelle: 45412-0014;;;
Ankünfte und Übernachtungen in Beherbergungsbetrieben:;;;
Deutschland, Monate;;;
Monatserhebung im Tourismus;;;
Deutschland;;;
;;Ankünfte;Übernachtungen
;;Anzahl;Anzahl
1992;Januar;4545298;15509574
1992;Februar;5369951;17544074
1992;März;6042074;19706821
1992;April;6956697;23926861
1992;Mai;9022647;29769767
1992;Juni;9360780;33183942
1992;Juli;10149703;41656401
1992;August;9901193;41707739
1992;September;9493603;33611133
1992;Oktober;8733872;28801738
1992;November;5824884;17021150
1992;Dezember;4850030;16005033
1993;Januar;4539318;15788999
1993;Februar;5172048;17492384
1993;März;6230045;20165770
1993;April;6812004;23517433
1993;Mai;9107947;30518183
1993;Juni;9119088;32541701
1993;Juli;9571054;40098946
1993;August;9423339;40032494
1993;September;9118057;32470613
1993;Oktober;8461393;27351199
1993;November;5701728;16715994
1993;Dezember;4776593;15385734
1994;Januar;4628075;15925230
1994;Februar;5212302;17561842
1994;März;6208138;20574324
1994;April;6938233;22848902
1994;Mai;9159353;30706171
1994;Juni;9139351;31764731
1994;Juli;9702348;40210854
1994;August;9461513;39675314
1994;September;9578303;32726024
1994;Oktober;8739235;28294262
1994;November;6037684;17634219
1994;Dezember;5095325;16304627
1995;Januar;4950860;16858589
1995;Februar;5402729;18143935
1995;März;6495202;20499677
1995;April;7341427;24751506
1995;Mai;9419609;30620810
1995;Juni;9667907;33203544
1995;Juli;10186374;41574368
1995;August;9782653;39970478
1995;September;10059906;33543759
1995;Oktober;8937332;29237649
1995;November;6336883;18197969
1995;Dezember;5375703;17059932
1996;Januar;4923695;16578589
1996;Februar;5584797;18574502
1996;März;6615842;20736250
1996;April;7259158;23825102
1996;Mai;9745999;31316012
1996;Juni;9730772;32419343
1996;Juli;10103840;41084490
1996;August;10011079;39268789
1996;September;10074687;33057436
1996;Oktober;9368942;29572425
1996;November;6677871;18306363
1996;Dezember;5430182;16505757
1997;Januar;5070631;15522207
1997;Februar;5590958;16834745
1997;März;6684333;20346034
1997;April;7532798;21751393
1997;Mai;10002883;30421291
1997;Juni;9905191;30575505
1997;Juli;10364306;38183676
1997;August;10588571;40698777
1997;September;10359365;32664162
1997;Oktober;9671946;28678547
1997;November;6628262;16841209
1997;Dezember;5613880;15805062
1998;Januar;5155353;14897949
1998;Februar;5753380;16930442
1998;März;6963222;19203000
1998;April;7673746;23278617
1998;Mai;10558415;31027315
1998;Juni;10187113;31426186
1998;Juli;10568846;37872469
1998;August;11100085;42603257
1998;September;10547503;33163426
1998;Oktober;9856903;29309419
1998;November;7014991;17879154
1998;Dezember;5972411;16820188
1999;Januar;5504761;16125272
1999;Februar;6125373;18128511
1999;März;7369667;20732955
1999;April;8230904;24062084
1999;Mai;10782995;31932261
1999;Juni;10565470;32615343
1999;Juli;11449396;40193561
1999;August;11614376;43462477
1999;September;11192334;34414061
1999;Oktober;10389894;30703870
1999;November;7531987;19289613
1999;Dezember;6444932;17705459
2000;Januar;5815391;17245781
2000;Februar;6709158;19282146
2000;März;7689135;21614482
2000;April;8746944;26486427
2000;Mai;10961320;31802378
2000;Juni;11909464;36434268
2000;Juli;12058160;42458966
2000;August;12077539;44192667
2000;September;12488010;37047660
2000;Oktober;10679827;31597585
2000;November;7820901;20282331
2000;Dezember;6780680;18978796
2001;Januar;6119426;18071478
2001;Februar;6621107;19452767
2001;März;8069600;22546512
2001;April;8779137;26934459
2001;Mai;11269642;33081333
2001;Juni;11580078;34975170
2001;Juli;12081763;43482952
2001;August;11935407;43452300
2001;September;11452090;35141054
2001;Oktober;10411287;31469203
2001;November;7935261;20333964
2001;Dezember;6589836;18503194
2002;Januar;5979509;17143732
2002;Februar;6610089;19077539
2002;März;7883533;22784196
2002;April;8677446;24694559
2002;Mai;11233489;33395933
2002;Juni;11147505;33731527
2002;Juli;11810175;41752070
2002;August;11693919;42323729
2002;September;11378058;34637600
2002;Oktober;10304259;31022781
2002;November;7740846;19667265
2002;Dezember;6536873;18291259
2003;Januar;5901795;16769013
2003;Februar;6465408;18041124
2003;März;7674138;21551272
2003;April;8528263;25600651
2003;Mai;11283222;32739325
2003;Juni;11503282;34676187
2003;Juli;12091079;39965495
2003;August;12121089;44781298
2003;September;11570916;35160187
2003;Oktober;10771469;31064379
2003;November;7816271;19662474
2003;Dezember;6851279;18402824
2004;Januar;6076524;16853799
2004;Februar;6916186;19458291
2004;März;8233171;21908557
2004;April;8964532;25756114
2004;Mai;11727267;33573073
2004;Juni;11540901;33491333
2004;Juli;12463606;39913143
2004;August;12003393;43195544
2004;September;11992620;34864565
2004;Oktober;11049156;31052763
2004;November;8199082;20031360
2004;Dezember;7224177;18624444
2005;Januar;6574049;18289338
2005;Februar;7157948;19431293
2005;März;8270525;23489325
2005;April;9339481;24141817
2005;Mai;11812834;33585687
2005;Juni;11770048;32780726
2005;Juli;12887720;40795743
2005;August;12669910;44169133
2005;September;12559144;35596968
2005;Oktober;11390143;31822422
2005;November;8522329;20528453
2005;Dezember;7598457;19293838
2006;Januar;6821473;18441381
2006;Februar;7308693;19612560
2006;März;8645266;22061366
2006;April;9554565;26684198
2006;Mai;12068006;32510471
2006;Juni;12465302;35278448
2006;Juli;13339345;41597968
2006;August;12804153;43234042
2006;September;13509575;37322016
2006;Oktober;11704525;32641059
2006;November;8854736;21190049
2006;Dezember;8151781;20611132
2007;Januar;7005909;18626105
2007;Februar;7618428;20217103
2007;März;9342422;23609622
2007;April;10117378;28044654
2007;Mai;12307441;33453261
2007;Juni;12855264;35798645
2007;Juli;13673875;42724824
2007;August;13667514;44709349
2007;September;13427901;37627349
2007;Oktober;12133477;33131974
2007;November;9434371;22570600
2007;Dezember;8273456;21332578
2008;Januar;7313053;19492470
2008;Februar;8409206;21847044
2008;März;9171453;25389779
2008;April;10466717;26396801
2008;Mai;13387078;37031131
2008;Juni;12756166;34974808
2008;Juli;13891311;44605336
2008;August;13960736;44579267
2008;September;13487865;37323957
2008;Oktober;12551170;34154737
2008;November;9234895;22384941
2008;Dezember;8317015;21364780
2009;Januar;7067127;18909907
2009;Februar;7744920;20625899
2009;März;9177252;23276755
2009;April;10176494;27974137
2009;Mai;13235218;35678826
2009;Juni;12912460;35801454
2009;Juli;14253397;45139703
2009;August;14373445;45677621
2009;September;13459894;37301358
2009;Oktober;12526193;34242119
2009;November;9328794;22329831
2009;Dezember;8575233;21732057
2010;Januar;7151550;19061029
2010;Februar;8090020;20971235
2010;März;9639648;24434003
2010;April;10811057;28450579
2010;Mai;13590018;36253977
2010;Juni;13804968;37364579
2010;Juli;15225640;47011842
2010;August;14748078;46512507
2010;September;14437463;38829092
2010;Oktober;13495984;35717318
2010;November;10119862;23861321
2010;Dezember;8876922;21807980
2011;Januar;7763104;20061022
2011;Februar;8463812;21058968
2011;März;9945741;25068914
2011;April;11663982;31257046
2011;Mai;13902231;35317359
2011;Juni;15010579;40989511
2011;Juli;15972570;47233628
2011;August;15188432;47440969
2011;September;15182828;39888841
2011;Oktober;14015247;36927651
2011;November;10593204;24991979
2011;Dezember;9360028;22941214
2012;Januar;8274793;21298013
2012;Februar;9084077;23204801
2012;März;11013485;27065218
2012;April;12003947;32100731
2012;Mai;14877217;38911523
2012;Juni;14910407;39581469
2012;Juli;16059715;47381495
2012;August;16142702;49585449
2012;September;15698063;41343522
2012;Oktober;13986269;36823453
2012;November;10917793;25641713
2012;Dezember;9749490;24265565
2013;Januar;8351161;21541338
2013;Februar;9095717;23371326
2013;März;11009184;28486638
2013;April;11922601;29838599
2013;Mai;14994661;39493571
2013;Juni;14963596;38906457
2013;Juli;16796219;49324320
2013;August;16697031;50671101
2013;September;15625873;40872901
2013;Oktober;14527447;38283238
2013;November;11200727;26438903
2013;Dezember;10004107;24634802
2014;Januar;8578404;21838509
2014;Februar;9439023;23474998
2014;März;11137814;27770814
2014;April;12475728;33260922
2014;Mai;15505553;39340863
2014;Juni;15928957;41953180
2014;Juli;16818325;47653674
2014;August;17305451;53399450
2014;September;16052669;42258480
2014;Oktober;15360167;39764856
2014;November;11522265;27287743
2014;Dezember;10660518;26052411
2015;Januar;8831649;22466561
2015;Februar;9861610;25049973
2015;März;11732437;28925806
2015;April;12874417;33065438
2015;Mai;16306454;41885785
2015;Juni;16337387;41947381
2015;Juli;17959274;50660346
2015;August;17986295;54217707
2015;September;16343287;42864821
2015;Oktober;15609655;40341384
2015;November;12058826;28182832
2015;Dezember;10878037;26607119
2016;Januar;9119378;23432762
2016;Februar;10476089;26271794
2016;März;12240198;31830635
2016;April;13467293;32743163
2016;Mai;16529427;43069789
2016;Juni;16252150;41688005
2016;Juli;18526906;52256020
2016;August;17751419;53586747
2016;September;17500626;44808862
2016;Oktober;16074060;41826762
2016;November;12363648;28631248
2016;Dezember;11324784;27125548
2017;Januar;9766472;24324844
2017;Februar;10441500;25836331
2017;März;12694389;30567441
2017;April;14360639;37143752
2017;Mai;16794703;41707219
2017;Juni;17886591;46231299
2017;Juli;19082023;53423875
2017;August;18307024;54260179
2017;September;18060773;45783562
2017;Oktober;16191920;42005492
2017;November;12625652;29516068
2017;Dezember;12019200;28644544
2018;Januar;10246019;25512278
2018;Februar;11041521;27377486
2018;März;13364685;33125815
2018;April;14646232;36387290
2018;Mai;17746951;45624934
2018;Juni;18245118;46206549
2018;Juli;19710388;56281826
2018;August;19231590;56001184
2018;September;18425457;47242412
2018;Oktober;16783605;43486932
2018;November;13381600;30926254
2018;Dezember;12259235;29867677
2019;Januar;10415680;26147661
2019;Februar;11364644;27834384
2019;März;13494909;32961447
2019;April;15428591;40262659
2019;Mai;18027116;44480085
2019;Juni;19154697;50614526
2019;Juli;20388556;58750095
2019;August;20029524;57817242
2019;September;18539659;47778730
2019;Oktober;17452215;45630024
2019;November;13914513;32437266
2019;Dezember;12734317;30901736
2020;Januar;10782764;26870118
2020;Februar;11864052;29889566
2020;März;5347787;15832200
2020;April;913120;4338990
2020;Mai;3415066;11077157
2020;Juni;9065889;29106503
2020;Juli;13820457;45485852
2020;August;15168754;49483546
2020;September;13653143;41060688
2020;Oktober;10341654;33221082
2020;November;2276899;9273670
2020;Dezember;1495500;6674608
2021;Januar;1441069;6406844
2021;Februar;1641144;7191617
2021;März;2248523;9118018
2021;April;2023381;8498998
2021;Mai;3927465;14492445
2021;Juni;9102753;30461435
2021;Juli;14704277;47942991
2021;August;16737070;55914258
2021;September;15234651;45104863
2021;Oktober;14901639;43105611
2021;November;8958485;24477972
2021;Dezember;5913380;17486819
2022;Januar;5269104;16216306
2022;Februar;6476483;18788742
2022;März;8951414;25108392
2022;April;12754101;35724468
2022;Mai;16254753;43069031
2022;Juni;17764548;48944087
2022;Juli;19747627;56307993
2022;August;19048003;58206752
2022;September;17606521;47209280
2022;Oktober;16157800;44059694
2022;November;11946177;29643386
2022;Dezember;11063844;27428519
2023;Januar;9108417;23954725
2023;Februar;10192798;26366991
2023;März;12568417;31691284
2023;April;14987373;40051216
2023;Mai;18003599;46941403
2023;Juni;18650205;49418116
2023;Juli;20083013;56893041
2023;August;18981210;57125726
2023;September;19155292;49522510
2023;Oktober;16470485;44441967
2023;November;12747794;30788234
2023;Dezember;12318446;29914330
2024;Januar;9745715;25196839
2024;Februar;...;...
2024;März;...;...
2024;April;...;...
2024;Mai;...;...
2024;Juni;...;...
2024;Juli;...;...
2024;August;...;...
2024;September;...;...
2024;Oktober;...;...
2024;November;...;...
2024;Dezember;...;...
__________;;;
"Ab 2011:
Ab dem Berichtsjahr 2011 liegt der Monatserhebung im
Tourismus eine neue Abschneidegrenze für die
Auskunftspflicht zugrunde. Bei den Beherbergungsbetrieben
wurde die Mindestanzahl der Schlafgelegenheiten von
9 auf 10 bzw. bei den Campingplätzen von 3 auf 10
Stellplätze angehoben.";;;
© Statistisches Bundesamt (Destatis), 2024;;;
Stand: 09.04.2024 / 17:03:34;;;
